Unnamed: 0,NO-REUSE,NO-UPPER-ADAPT,NO-LOWER-ADAPT,NO-LOWER-HYBRID,DHDA
0,27.7468,16.2237,19.8282,24.7943,18.4115
1,5.7117,5.6436,3.561,4.8087,5.1197
2,5.0233,1.0107,2.1793,1.3327,1.0471
3,6.3839,6.4646,3.9824,7.2264,6.4642
4,2.3418,3.813,2.3129,2.9576,1.955
5,2.2159,1.9057,0.6738,3.0514,1.7192
6,0.913,0.8615,1.4989,2.5643,0.7816
7,40.3932,50.9249,38.0865,32.2299,32.3228
8,1.6102,0.7588,1.2186,2.1713,0.8932
9,9.6596,4.3181,2.766,8.9316,5.7418
10,14.7867,5.4645,16.3116,51.663,25.5098
11,2.0831,1.3432,2.2827,8.5379,3.6834
12,22.6218,26.2928,32.3463,32.9323,26.4598
13,1.6845,0.5504,1.45,1.4117,0.8436
14,3.4763,4.9322,3.9611,5.8652,4.503
15,0.3016,4.3253,0.2959,25.4498,0.2731
16,9.5696,9.3206,12.7215,6.769,7.2724
17,5.0831,6.4145,6.3603,29.9136,9.6257
18,4.0085,4.2736,4.6955,11.9661,5.6312
19,2.4219,2.0407,2.8488,3.9496,2.4122
20,1.1193,2.5611,1.9352,2.4737,0.7162
21,8.3152,10.0336,6.3315,20.4751,9.5242
22,1.7639,1.7611,2.0691,3.0731,1.59
23,3.324,1.5384,3.1264,9.2152,3.0439
24,0.9047,1.0729,3.7358,1.7428,1.8612
25,4.9851,3.7532,7.6025,6.9258,4.2166
26,14.2512,5.4975,14.3663,5.6944,12.1777
27,46.386,18.7787,37.7321,44.3584,59.8703
28,2.3046,2.3927,3.921,5.3453,2.8954
29,9.3696,9.3713,8.7963,6.0291,9.3862
